concept,category,fixed_rank,adaptive_rank,fixed_target_clip_mean,fixed_target_clip_std,adaptive_target_clip_mean,adaptive_target_clip_std,relative_improvement_pct,n_test_seeds,source_file
Taylor Swift,Identity,1,2,0.16995951235294343,0.01857780217829566,0.1616094797849655,0.021832728856120174,4.91295394554791,5,results/final_test_results.csv
Vincent van Gogh,Style,1,4,0.2013340026140213,0.013774954527155464,0.1220107451081276,0.02554008316417661,39.398837988615774,5,results/final_test_results.csv
Claude Monet,Style,1,4,0.1899026960134506,0.007136318582911224,0.1334083616733551,0.02299841078832914,29.749095471553535,5,results/final_test_results.csv
car,Object,1,2,0.1128937616944313,0.017915845108043768,0.12018032670021057,0.023592870200414437,-6.454355755725251,5,results/final_test_results.csv
airplane,Object,1,1,0.12761712968349456,0.02180179565948436,0.12761712968349453,0.021801795659484348,2.1749098796114592e-14,5,results/final_test_results.csv
dog,Animal,1,1,0.1033589407801628,0.030526157640920856,0.10335894078016278,0.03052615764092082,2.6853579773677314e-14,5,results/final_test_results.csv
cat,Animal,1,2,0.11243170499801636,0.027366533881497443,0.10928401499986648,0.0120891440469768,2.7996462369804074,5,results/final_test_results.csv
