concept,rank,target_residual,preservation_score,preservation_degradation_pct,original_preservation_score,effective_preservation_degradation_pct,satisfies_10pct_budget,satisfies_15pct_budget,satisfies_20pct_budget,target_split,target_seeds,preservation_seeds,preservation_observations_per_rank,target_precision,preservation_precision,degradation_precision,target_source,preservation_source,degradation_source
Vincent van Gogh,1,0.175338,0.21164359897375104,-1.180452,0.2091743958493074,0.0,True,True,True,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,full precision aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-50,results/van_gogh_preservation.csv,experiments/adaptive_rank_experiment.ipynb#cell-77
Vincent van Gogh,2,0.191937,0.217646773904562,-4.05039,0.2091743958493074,0.0,True,True,True,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,full precision aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-50,experiments/adaptive_rank_experiment.ipynb#cell-76,experiments/adaptive_rank_experiment.ipynb#cell-77
Vincent van Gogh,4,0.115241,0.17616983254750565,15.778491,0.2091743958493074,15.778491,False,False,True,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,full precision aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-50,results/van_gogh_preservation.csv,experiments/adaptive_rank_experiment.ipynb#cell-77
Vincent van Gogh,8,0.13727,0.13249032075206438,36.660355,0.2091743958493074,36.660355,False,False,False,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,full precision aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-50,experiments/adaptive_rank_experiment.ipynb#cell-76,experiments/adaptive_rank_experiment.ipynb#cell-77
Claude Monet,1,0.155533,0.212159,-1.426951,0.2091743958493074,0.0,True,True,True,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,six decimal saved aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-51,experiments/adaptive_rank_experiment.ipynb#cell-80,experiments/adaptive_rank_experiment.ipynb#cell-81
Claude Monet,2,0.158137,0.211344,-1.037359,0.2091743958493074,0.0,True,True,True,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,six decimal saved aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-51,experiments/adaptive_rank_experiment.ipynb#cell-80,experiments/adaptive_rank_experiment.ipynb#cell-81
Claude Monet,4,0.133511,0.178029,14.8895,0.2091743958493074,14.8895,False,True,True,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,six decimal saved aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-51,experiments/adaptive_rank_experiment.ipynb#cell-80,experiments/adaptive_rank_experiment.ipynb#cell-81
Claude Monet,8,0.164403,0.155615,25.605185,0.2091743958493074,25.605185,False,False,False,calibration,2025; 2026; 2027,4025; 4026; 4027,12,six decimal saved aggregate,six decimal saved aggregate,six decimal saved aggregate,experiments/adaptive_rank_experiment.ipynb#cell-51,experiments/adaptive_rank_experiment.ipynb#cell-80,experiments/adaptive_rank_experiment.ipynb#cell-81
